id,imei,lat,lng,speed,direction,error,acc,meter,ts,datasource
168,16005497,13.99080,100.66237,0.0,0.0,0.0,1,1,1433091600,9
169,10012904,13.86587,100.59087,64.0,28.0,0.0,0,0,1433091600,9
170,10012065,14.60970,101.07135,124.0,244.0,0.0,0,1,1433091600,9
171,10017153,13.63192,100.61688,0.0,184.0,0.0,1,1,1433091600,9
172,16100180,7.88252,98.29900,0.0,0.0,0.0,1,1,1433091600,9
173,16005724,13.69633,100.70607,0.0,0.0,0.0,1,1,1433091600,9
174,10013499,13.74358,100.54143,16.0,246.0,0.0,0,1,1433091600,9
175,10013511,13.71303,100.59438,50.0,126.0,0.0,0,1,1433091600,9
176,10012074,13.70103,100.48762,56.0,20.0,0.0,0,0,1433091600,9
177,10014278,13.80742,100.51148,70.0,140.0,0.0,0,1,1433091600,9
178,16005950,13.65018,100.55743,0.0,0.0,0.0,0,0,1433091600,9
179,16005202,13.57308,100.52963,0.0,0.0,0.0,1,1,1433091600,9
180,10017219,13.75175,100.54142,10.0,46.0,0.0,0,0,1433091600,9
181,16005685,13.71297,100.37803,0.0,0.0,0.0,1,1,1433091600,9
182,10014259,13.64497,100.23640,0.0,0.0,0.0,1,1,1433091600,9
183,10008833,13.62485,100.50810,0.0,116.0,0.0,1,1,1433091600,9
184,10015466,13.91500,100.61988,74.0,28.0,0.0,0,1,1433091600,9
185,10016875,13.68497,100.62342,28.0,18.0,0.0,0,1,1433091600,9
186,10015633,13.69540,100.60578,4.0,18.0,0.0,0,0,1433091600,9
187,16014581,13.74435,100.58602,0.0,0.0,0.0,0,1,1433091601,9
188,16003655,13.74152,100.56152,0.0,0.0,0.0,1,1,1433091600,9
189,16005572,13.66110,100.41498,0.0,0.0,0.0,1,1,1433091600,9
190,16005521,13.72053,100.50500,41.0,273.0,0.0,0,0,1433091600,9
191,10016882,13.60888,100.67980,90.0,228.0,0.0,0,0,1433091600,9
192,10013687,13.74847,100.56743,68.0,98.0,0.0,0,1,1433091600,9
193,10016463,13.70270,100.48945,66.0,112.0,0.0,0,1,1433091600,9
194,16100345,7.88193,98.29893,0.0,0.0,0.0,1,1,1433091600,9
195,16003630,14.03863,100.66032,0.0,0.0,0.0,1,1,1433091600,9
196,16005095,13.71302,100.51875,0.0,0.0,0.0,1,1,1433091600,9
197,10012048,13.73315,100.48340,22.0,208.0,0.0,0,1,1433091600,9
198,16005649,13.79343,100.61985,0.0,0.0,0.0,1,1,1433091600,9
199,10015386,13.86185,100.56900,106.0,28.0,0.0,0,1,1433091600,9
200,16005070,13.62727,100.43830,0.0,0.0,0.0,1,1,1433091600,9
201,16005276,13.76792,100.66217,0.0,0.0,0.0,1,1,1433091600,9
202,16014512,13.00647,101.20335,0.0,0.0,0.0,1,1,1433091600,9
203,10015959,13.73513,100.58790,44.0,198.0,0.0,0,0,1433091600,9
204,10016650,13.84087,100.54145,60.0,12.0,0.0,0,1,1433091600,9
205,10014260,14.51363,99.70913,12.0,208.0,0.0,0,0,1433091600,9
206,16005136,13.88580,100.61237,0.0,0.0,0.0,1,1,1433091600,9
207,10013978,13.58155,100.78620,0.0,204.0,0.0,1,1,1433091600,9
208,10014219,13.71887,100.50813,60.0,24.0,0.0,0,1,1433091600,9
209,16014558,13.67392,100.49863,0.0,0.0,0.0,1,1,1433091600,9
210,10012349,14.01915,100.61583,60.0,180.0,0.0,0,0,1433091600,9
211,10016718,13.78972,100.56977,36.0,84.0,0.0,0,0,1433091600,9
212,10016189,13.62837,100.35997,104.0,48.0,0.0,0,0,1433091600,9
213,10012259,13.78650,100.57193,34.0,76.0,0.0,0,1,1433091600,9
214,16003614,13.83770,100.71598,0.0,0.0,0.0,1,1,1433091600,9
215,16005088,13.72047,100.64957,0.0,0.0,0.0,1,1,1433091600,9
216,10013733,13.66028,100.40558,102.0,182.0,0.0,0,1,1433091600,9
217,16100474,8.96263,98.81855,0.0,0.0,0.0,1,1,1433091600,9
218,10014613,13.65772,100.66690,56.0,344.0,0.0,0,1,1433091600,9
219,10015019,13.74993,100.50290,26.0,228.0,0.0,0,1,1433091600,9
220,10013277,13.71677,100.44898,42.0,72.0,0.0,0,1,1433091600,9
221,10012309,13.74805,100.54075,48.0,8.0,0.0,0,1,1433091600,9
222,10016542,13.64797,100.68458,58.0,226.0,0.0,0,0,1433091600,9
223,16100447,13.78745,100.46837,76.0,250.0,0.0,0,0,1433091600,9
224,16100310,8.11068,98.31042,0.0,0.0,0.0,1,1,1433091600,9
225,10016873,13.71888,100.56692,38.0,240.0,0.0,0,0,1433091600,9
226,10014293,13.64853,100.62692,56.0,112.0,0.0,0,0,1433091600,9
227,10013581,13.70618,100.49082,48.0,30.0,0.0,0,0,1433091600,9
228,10015558,13.71087,100.64625,0.0,220.0,0.0,1,1,1433091600,9
229,10011622,13.77143,100.51795,62.0,28.0,0.0,0,1,1433091600,9
230,10016626,13.62733,100.62762,42.0,120.0,0.0,0,1,1433091600,9
231,16011087,13.79230,100.59880,0.0,0.0,0.0,1,0,1433091600,9
232,10017014,13.72415,100.51490,0.0,122.0,0.0,1,1,1433091600,9
233,10016292,13.68358,100.49748,54.0,238.0,0.0,0,0,1433091600,9
234,10016859,13.78672,100.69135,69.0,240.0,0.0,0,1,1433091600,9
235,16005169,13.69967,100.60807,14.0,71.0,0.0,0,1,1433091600,9
236,16100368,7.84503,98.38267,0.0,0.0,0.0,1,1,1433091601,9
237,10016858,13.74193,100.47165,0.0,96.0,0.0,1,1,1433091600,9
238,10015908,13.64310,100.59287,56.0,224.0,0.0,0,1,1433091600,9
239,10014389,13.88638,100.60315,18.0,208.0,0.0,0,0,1433091600,9
240,10016355,13.73865,100.56237,0.0,130.0,0.0,1,1,1433091600,9
241,10016592,13.71565,100.56983,22.0,114.0,0.0,0,1,1433091600,9
242,10013613,13.78485,100.61162,70.0,242.0,0.0,0,0,1433091600,9
243,10014496,14.44298,100.54222,70.0,168.0,0.0,0,0,1433091600,9
244,16005962,13.59528,100.36645,0.0,0.0,0.0,1,1,1433091601,9
245,16003684,13.66375,100.40833,0.0,0.0,0.0,1,1,1433091601,9
246,10012006,13.63027,100.70783,62.0,196.0,0.0,0,0,1433091600,9
247,10015453,13.72422,100.51462,0.0,208.0,0.0,1,1,1433091600,9
248,10013027,13.73413,100.54385,58.0,216.0,0.0,0,1,1433091600,9
249,10015199,13.76425,100.77613,48.0,180.0,0.0,0,0,1433091600,9
250,10016090,13.65502,100.42808,64.0,230.0,0.0,0,1,1433091600,9
251,10013131,13.71285,100.43335,4.0,88.0,0.0,0,0,1433091600,9
252,16005426,13.59485,100.36432,0.0,0.0,0.0,1,1,1433091601,9
253,16100464,7.88320,98.39052,0.0,0.0,0.0,1,1,1433091601,9
254,10016470,13.77045,100.74627,66.0,178.0,0.0,0,0,1433091600,9
255,16005401,16.51790,102.82840,0.0,0.0,0.0,1,1,1433091600,9
256,10012862,13.61832,100.62232,78.0,206.0,0.0,0,1,1433091600,9
257,10015460,13.82180,100.52120,76.0,46.0,0.0,0,1,1433091600,9
258,10012757,13.68583,100.42662,16.0,70.0,0.0,0,1,1433091600,9
259,10016309,13.88120,100.57992,104.0,208.0,0.0,0,0,1433091600,9
260,10015356,13.72282,100.55293,12.0,118.0,0.0,0,1,1433091600,9
261,10015350,13.62092,100.50322,140.0,84.0,0.0,0,1,1433091600,9
262,10014125,13.91510,100.59782,12.0,26.0,0.0,0,0,1433091601,9
263,10013444,13.74072,100.64222,58.0,12.0,0.0,0,0,1433091600,9
264,10016995,13.59625,100.37128,0.0,224.0,0.0,1,1,1433091600,9
265,10013234,13.87628,100.59657,34.0,54.0,0.0,0,1,1433091600,9
266,Uk000014,13.94070,100.27960,0.0,121.8,15.0,1,0,1433091600,30
267,UP000296,13.71520,100.32600,0.0,0.0,15.0,1,1,1433091600,30
268,kU000028,13.86529,100.43878,0.0,0.0,0.0,0,0,1433091600,30
269,M2000016,13.73170,100.50550,0.0,99.8,15.0,1,0,1433091600,30
270,Ca000004,13.74310,100.61320,0.0,344.0,15.0,1,0,1433091600,30
271,Z0000427,13.74140,100.54080,0.0,269.3,15.0,0,1,1433091600,30
272,bO000003,13.61150,100.66900,55.0,284.9,15.0,0,1,1433091601,30
273,UP000343,13.70670,100.33070,20.0,182.2,15.0,0,0,1433091602,30
274,Ed000057,13.76360,100.69760,0.0,99.8,15.0,1,0,1433091600,30
275,As000007,13.71390,100.75180,0.0,287.8,15.0,1,1,1433091600,30
276,Z0000134,13.88210,100.40480,0.0,114.4,15.0,1,0,1433091600,30
277,UP000250,13.79230,100.45590,0.0,0.0,15.0,1,1,1433091600,30
278,Ed000059,13.55510,100.68160,0.0,0.0,15.0,1,0,1433091600,30
279,uS000008,13.73980,100.60310,60.0,108.6,15.0,0,1,1433091600,30
280,UP000201,13.76910,100.63990,0.0,124.2,15.0,0,1,1433091600,30
281,Z0000360,13.76240,100.64430,8.0,257.2,15.0,0,0,1433091600,30
282,2H000070,13.77250,100.58680,0.0,189.6,15.0,0,0,1433091600,30
283,bN000034,16.45360,102.84140,0.0,0.0,15.0,1,1,1433091600,30
284,Ht000028,13.88220,100.40940,46.0,174.6,15.0,0,1,1433091600,30
285,Ze000001,13.59930,100.54340,0.0,242.7,15.0,1,1,1433091600,30
286,tV000083,13.80120,100.31990,0.0,267.5,15.0,1,1,1433091600,30
287,o3000006,13.84450,100.41130,0.0,33.2,15.0,1,0,1433091600,30
288,Ed000019,13.67540,100.65750,38.0,217.4,15.0,0,0,1433091600,30
289,Uk000010,13.78130,100.47360,0.0,110.2,15.0,1,1,1433091600,30
290,AF000001,13.72800,100.53320,32.0,251.7,15.0,0,1,1433091600,30
291,Od000017,13.75560,100.56660,0.0,311.5,15.0,1,0,1433091600,30
292,tV000048,13.85480,100.53940,15.0,347.2,15.0,0,1,1433091600,30
293,rB000033,14.00783,100.63870,0.0,0.0,15.0,1,0,1433091600,30
294,Rk000001,13.74280,100.42180,0.0,178.9,15.0,1,1,1433091601,30
295,o3000058,13.79440,100.45500,0.0,262.0,15.0,1,1,1433091600,30
296,DC000008,13.71090,100.47000,3.0,18.9,15.0,1,1,1433091600,30
297,KO000016,13.76530,100.50260,0.0,276.5,15.0,1,1,1433091600,30
298,jj000001,13.87140,100.63260,0.0,280.4,15.0,1,0,1433091600,30
299,UP000440,13.74550,100.52020,0.0,13.7,15.0,1,0,1433091601,30
300,353419036168024,13.70525,100.60195,15.0,163.8,1.8,0,0,1433091600,8
301,j6000039,14.05640,101.37630,0.0,173.4,15.0,1,0,1433091600,30
302,Wo000002,13.70540,100.34290,8.0,85.8,15.0,0,1,1433091601,30
303,tq000022,0.00000,0.00000,0.0,187.1,0.0,1,0,1433091601,30
304,of000006,13.96730,100.74460,0.0,0.0,15.0,1,0,1433091600,30
305,353419036161318,13.87635,100.43847,56.0,86.6,1.8,0,1,1433091600,8
306,Z0000157,13.82590,100.40950,0.0,245.8,15.0,1,0,1433091600,30
307,a3000028,13.78120,100.57370,32.0,3.0,15.0,0,0,1433091600,30
308,UP000467,13.56660,100.61510,0.0,137.6,15.0,1,1,1433091601,30
309,tq000113,13.93130,100.41560,0.0,0.0,15.0,1,0,1433091601,30
310,Wo000005,13.67149,100.44295,0.0,0.0,0.0,0,0,1433091600,30
311,DV000044,13.62430,100.27910,0.0,190.0,15.0,1,1,1433091601,30
312,tV000055,13.91450,100.40530,38.0,93.6,15.0,0,0,1433091600,30
313,Uj000062,13.84740,100.71890,0.0,138.3,15.0,1,0,1433091601,30
314,UP001010,13.74050,100.49770,7.0,336.8,15.0,0,0,1433091600,30
315,Uj000017,13.68350,100.43950,0.0,60.9,15.0,1,0,1433091601,30
316,UP000403,13.74710,100.32450,0.0,331.0,15.0,1,0,1433091601,30
317,tV000010,13.74343,100.29893,0.0,0.0,0.0,0,0,1433091600,30
318,UP000164,13.82680,100.49280,0.0,117.2,15.0,0,1,1433091600,30
319,UP000255,13.93370,100.51620,0.0,285.8,15.0,1,0,1433091600,30
320,N5000010,13.68530,100.42120,0.0,8.0,15.0,1,0,1433091601,30
321,UP001054,13.75200,100.56400,51.0,8.6,15.0,0,0,1433091600,30
322,V3000002,13.70470,100.48940,1.0,6.7,15.0,1,0,1433091600,30
323,Z0000175,13.78440,100.47190,0.0,110.8,15.0,1,0,1433091600,30
324,8Y000004,13.87510,100.54890,0.0,12.5,15.0,1,0,1433091600,30
325,UP000413,13.58330,100.79720,35.0,0.8,15.0,0,1,1433091601,30
326,353419036152333,13.80048,100.55229,38.0,27.2,1.8,0,0,1433091602,8
327,353419036148661,13.74757,100.53805,9.0,22.0,4.3,0,1,1433091601,8
328,UP000962,13.73800,100.78960,77.0,42.0,15.0,0,1,1433091600,30
329,o3000018,13.77040,100.48450,55.0,144.0,15.0,0,1,1433091603,30
330,UP000156,13.78010,100.36360,62.0,0.5,15.0,0,1,1433091600,30
331,Ki000057,13.67060,100.49800,0.0,65.3,15.0,2,0,1433091601,30
332,tq000135,13.87000,100.48590,82.0,292.1,15.0,0,1,1433091672,30
333,tq000270,13.83224,100.47166,0.0,0.0,0.0,1,1,1433091600,30
334,62000011,13.77160,100.73160,0.0,258.0,15.0,1,0,1433091601,30
335,tV000103,13.79710,100.45730,0.0,265.0,15.0,1,0,1433091600,30
336,yK000001,13.83470,100.53990,45.0,13.4,15.0,0,1,1433091600,30
337,Ed000055,13.57850,100.65070,0.0,0.0,15.0,1,0,1433091600,30
338,Od000012,13.76620,100.53890,0.0,26.3,15.0,0,1,1433091601,30
339,WU000012,13.63730,100.37310,0.0,84.2,15.0,1,0,1433091601,30
340,Z0000053,13.90810,100.42860,0.0,0.0,15.0,1,1,1433091600,30
341,kU000015,13.76920,100.48540,37.0,131.5,15.0,0,0,1433091601,30
342,Z0000148,13.66715,100.44843,0.0,0.0,0.0,1,0,1433091600,30
343,rB000170,13.98510,100.67446,0.0,0.0,0.0,1,0,1433091601,30
344,UP000133,13.76300,100.56760,52.0,37.2,15.0,0,1,1433091601,30
345,EN000102,13.84040,100.55430,0.0,82.2,15.0,1,0,1433091601,30
346,RS000002,13.68690,100.42630,0.0,237.6,15.0,0,1,1433091601,30
347,fN000053,13.90870,100.79000,0.0,6.8,15.0,1,1,1433091601,30
348,qN000017,13.76250,100.56750,65.0,215.8,15.0,0,1,1433091601,30
349,Z6000005,13.62800,100.63600,44.0,291.4,15.0,0,0,1433091600,30
